date,1. open,2. high,3. low,4. close,5. volume,Ticker
2024-08-30,195.86,201.3696,194.2,201.0,3347707.0,GEV
2024-08-29,186.0,195.68,185.355,191.36,3155472.0,GEV
2024-08-28,183.85,185.37,180.77,184.0,2067683.0,GEV
2024-08-27,181.0,187.1,180.49,185.55,1613268.0,GEV
2024-08-26,181.48,183.27,179.19,182.13,2177004.0,GEV
2024-08-23,180.8,183.56,173.07,183.29,4872683.0,GEV
2024-08-22,185.0,186.745,182.31,186.0,2067915.0,GEV
2024-08-21,183.47,185.24,181.81,184.26,1601541.0,GEV
2024-08-20,184.96,186.0,181.68,184.0,1138332.0,GEV
2024-08-19,184.1,185.51,181.215,185.4,1626853.0,GEV
2024-08-16,188.72,188.82,180.3907,184.06,2718507.0,GEV
2024-08-15,185.5,190.7999,181.61,188.82,3477950.0,GEV
2024-08-14,180.0,185.19,178.25,184.16,2242670.0,GEV
2024-08-13,178.05,180.26,175.315,179.65,1552036.0,GEV
2024-08-12,178.49,180.5,174.39,176.44,1797785.0,GEV
2024-08-09,176.52,179.55,172.6,179.11,2766628.0,GEV
2024-08-08,169.2,177.46,165.05,177.21,2755834.0,GEV
2024-08-07,168.66,172.75,164.69,166.07,3312842.0,GEV
2024-08-06,163.08,166.465,160.0,164.35,2800031.0,GEV
2024-08-05,152.405,165.39,150.01,162.24,3700451.0,GEV
2024-08-02,168.78,169.99,161.5,164.73,3314487.0,GEV
2024-08-01,181.9,183.86,171.81,174.03,3706765.0,GEV
2024-07-31,171.25,180.255,171.25,178.24,4056500.0,GEV
2024-07-30,172.93,174.07,162.45,162.7,2639331.0,GEV
2024-07-29,174.32,174.77,169.85,172.05,1757967.0,GEV
2024-07-26,168.46,173.9755,163.69,173.11,3871920.0,GEV
2024-07-25,166.0,166.29,156.41,160.0,5163169.0,GEV
2024-07-24,167.34,172.3,162.73,162.9,5532133.0,GEV
2024-07-23,167.0,171.01,166.22,170.49,3221764.0,GEV
2024-07-22,166.38,168.25,163.6839,166.76,1738608.0,GEV
2024-07-19,162.0,163.69,159.11,163.34,2547792.0,GEV
2024-07-18,168.0,171.45,159.43,161.49,4736552.0,GEV
2024-07-17,180.2,180.2,162.9,165.83,6033756.0,GEV
2024-07-16,178.78,183.89,178.18,182.74,1789742.0,GEV
2024-07-15,180.24,181.8099,176.5,177.44,3026614.0,GEV
2024-07-12,177.95,184.331,174.4,180.45,1603909.0,GEV
2024-07-11,181.0,183.16,176.55,176.7,2574654.0,GEV
2024-07-10,174.93,179.8,174.6,179.73,1835670.0,GEV
2024-07-09,174.28,174.83,172.6,172.98,1801065.0,GEV
2024-07-08,176.81,178.6,174.17,174.37,1659343.0,GEV
2024-07-05,171.5,177.44,171.26,176.23,1629585.0,GEV
2024-07-03,170.1,174.78,169.18,172.68,1317151.0,GEV
2024-07-02,165.41,171.98,165.41,169.81,2447440.0,GEV
2024-07-01,171.0,171.2,165.12,167.52,2748335.0,GEV
2024-06-28,174.8,176.3,167.175,171.51,3783554.0,GEV
2024-06-27,178.39,179.2729,173.25,176.28,2541263.0,GEV
2024-06-26,180.89,181.725,177.62,180.0,2283955.0,GEV
2024-06-25,179.8,181.5,176.27,181.45,2554030.0,GEV
2024-06-24,176.55,179.15,174.77,178.14,2552892.0,GEV
2024-06-21,177.1,177.18,170.4,175.73,3876954.0,GEV
2024-06-20,178.47,185.5,175.095,177.18,4005304.0,GEV
2024-06-18,167.94,180.25,166.33,179.57,3364919.0,GEV
2024-06-17,169.75,171.88,166.15,168.76,2804196.0,GEV
2024-06-14,174.09,174.78,166.2,170.17,3128342.0,GEV
2024-06-13,179.8,181.96,172.84,176.17,3462158.0,GEV
2024-06-12,171.54,179.22,171.155,177.52,4016501.0,GEV
2024-06-11,165.5,168.54,163.3,168.23,2036122.0,GEV
2024-06-10,161.22,170.0,160.5984,166.64,4224304.0,GEV
2024-06-07,159.5,165.76,159.04,162.08,4850297.0,GEV
2024-06-06,163.25,164.13,155.5,160.31,5249018.0,GEV
2024-06-05,165.09,168.3,162.47,163.49,8005543.0,GEV
2024-06-04,168.35,169.41,161.33,163.04,5279783.0,GEV
2024-06-03,178.93,179.0,166.44,170.37,3434765.0,GEV
2024-05-31,177.1,179.765,165.4,175.9,5454904.0,GEV
2024-05-30,176.97,177.81,174.5,175.08,2043133.0,GEV
2024-05-29,176.0,178.69,174.0962,177.32,1537710.0,GEV
2024-05-28,178.34,182.78,176.78,178.09,2632749.0,GEV
2024-05-24,162.81,177.7695,162.09,177.43,4294052.0,GEV
2024-05-23,166.42,170.0,161.44,161.67,3139003.0,GEV
2024-05-22,164.29,167.36,163.0,163.85,2018868.0,GEV
2024-05-21,160.24,164.49,159.07,163.93,1945469.0,GEV
2024-05-20,163.06,164.3,160.21,160.95,1736122.0,GEV
2024-05-17,166.88,167.64,160.94,162.62,1937153.0,GEV
2024-05-16,168.03,170.0,166.35,166.4,1604395.0,GEV
2024-05-15,168.36,172.35,166.956,167.87,2572025.0,GEV
2024-05-14,160.69,166.555,158.86,165.63,3855420.0,GEV
2024-05-13,165.0,167.55,160.18,161.53,4413798.0,GEV
2024-05-10,169.0,170.8,165.99,167.27,3459622.0,GEV
2024-05-09,165.0,168.72,164.65,166.4,4022569.0,GEV
2024-05-08,167.0,167.01,163.225,164.0,3679684.0,GEV
2024-05-07,168.66,173.5,167.165,167.36,2884150.0,GEV
